"game_id","cover_path","trailer_url","screenshot_1","screenshot_2","screenshot_3","screenshot_4","screenshot_5"
1049,"game_media\covers\1049.jpg","https://www.youtube.com/watch?v=N40uY51s5Z0","game_media\screenshots\1049_1.jpg","game_media\screenshots\1049_2.jpg","game_media\screenshots\1049_3.jpg","game_media\screenshots\1049_4.jpg","game_media\screenshots\1049_5.jpg"
1050,"game_media\covers\1050.jpg","https://www.youtube.com/watch?v=aOadxZBsPiA","game_media\screenshots\1050_1.jpg","game_media\screenshots\1050_2.jpg","game_media\screenshots\1050_3.jpg","game_media\screenshots\1050_4.jpg","game_media\screenshots\1050_5.jpg"
1051,"game_media\covers\1051.jpg","https://www.youtube.com/watch?v=UAO2urG23S4","game_media\screenshots\1051_1.jpg","game_media\screenshots\1051_2.jpg","game_media\screenshots\1051_3.jpg","game_media\screenshots\1051_4.jpg","game_media\screenshots\1051_5.jpg"
1052,"game_media\covers\1052.jpg","https://www.youtube.com/watch?v=tzWTcDydlpM","game_media\screenshots\1052_1.jpg","game_media\screenshots\1052_2.jpg","game_media\screenshots\1052_3.jpg","game_media\screenshots\1052_4.jpg","game_media\screenshots\1052_5.jpg"
1053,"game_media\covers\1053.jpg","https://www.youtube.com/watch?v=DL_mPw7KEU8","game_media\screenshots\1053_1.jpg","game_media\screenshots\1053_2.jpg","game_media\screenshots\1053_3.jpg","game_media\screenshots\1053_4.jpg","game_media\screenshots\1053_5.jpg"
1054,"game_media\covers\1054.jpg","https://www.youtube.com/watch?v=O2W0N3uKXmo","game_media\screenshots\1054_1.jpg","game_media\screenshots\1054_2.jpg","game_media\screenshots\1054_3.jpg","game_media\screenshots\1054_4.jpg","game_media\screenshots\1054_5.jpg"
1055,"game_media\covers\1055.jpg","https://www.youtube.com/watch?v=n0l5N6Exjz0","game_media\screenshots\1055_1.jpg","game_media\screenshots\1055_2.jpg","game_media\screenshots\1055_3.jpg","game_media\screenshots\1055_4.jpg","game_media\screenshots\1055_5.jpg"
1056,"game_media\covers\1056.jpg","https://www.youtube.com/watch?v=8ePZoY-Kgz4","game_media\screenshots\1056_1.jpg","game_media\screenshots\1056_2.jpg","game_media\screenshots\1056_3.jpg","game_media\screenshots\1056_4.jpg","game_media\screenshots\1056_5.jpg"
1057,"game_media\covers\1057.jpg","https://www.youtube.com/watch?v=_zDZYrIUgKE","game_media\screenshots\1057_1.jpg","game_media\screenshots\1057_2.jpg","game_media\screenshots\1057_3.jpg","game_media\screenshots\1057_4.jpg","game_media\screenshots\1057_5.jpg"
1058,"game_media\covers\1058.jpg","https://www.youtube.com/watch?v=_KVfPMSK8hA","game_media\screenshots\1058_1.jpg","game_media\screenshots\1058_2.jpg","game_media\screenshots\1058_3.jpg","game_media\screenshots\1058_4.jpg","game_media\screenshots\1058_5.jpg"
